iteration,intricationValue,coefficients
0,1.03076589831645,"([(-0.984073427927996, -0.0261003425115256, 0.175835891008701), (0.895933328411979, 0.0123550017527741, 0.444016694474793), (-0.984386029124637, -0.0240871078108684, 0.174367304565784), (0.988261581963872, 0.000941534841741472, -0.152768318464289)], [(0.909619316446284, -0.0150380642236405, 0.415170514092945), (0.981122243221906, -0.00297195574719200, -0.193365744986675), (0.889090930577216, -0.00238433076250555, 0.457724406310343), (-0.892579143617353, -0.00471090670716928, -0.450866143924458)])"
1,1.02980196156889,"([(-0.455069859702774, -0.0316597765066290, -0.889892735862951), (-0.984583861272250, 0.00258501147937292, 0.174894076051418), (0.983393050682561, 0.00848825754756421, -0.181289981391838), (0.979277276915992, 0.00849781338468974, -0.202345748864854)], [(0.203176564201387, 0.0237241532162900, -0.978854661486316), (0.887785719408717, 0.0540476833967487, 0.457072602912701), (-0.894709901047462, 0.0652709546161824, -0.441852798396858), (-0.875280361900131, 0.00476944929164254, -0.483592328749567)])"
2,1.03088544655428,"([(0.185856446362221, 0.0113184660136195, -0.982511716811920), (0.983267059716816, -0.00643911785345279, -0.182056109584701), (-0.984052913488056, 0.0117468952418482, 0.177487672551771), (0.987115216354374, 0.0134412988264613, -0.159445542827372)], [(-0.476692941382203, 0.0134052799239309, -0.878967654755591), (0.891283739762368, 0.0166554797116638, 0.453140033798364), (-0.888902228824422, -0.00164475099676147, -0.458094010422679), (0.898701988065570, -0.0222208485949027, 0.437996541692642)])"
3,0.735459943963126,"([(-0.821012076397882, -0.118338436450695, -0.558511579886436), (-0.492575742475791, -0.637876343647544, -0.592015969496823), (0.462445823997140, -0.588665325377387, 0.663036194009001), (0.449570585238485, 0.707808079163364, 0.544879814233741)], [(-0.133744628465309, 0.980674894748189, -0.142790493966881), (0.464360388770142, -0.611466236548497, 0.640685937806083), (0.451431937921658, 0.675880640819249, 0.582575801754636), (-0.483066133192563, 0.562933475590969, -0.670636274758126)])"
4,1.02974753287038,"([(0.408343055677950, -0.0488468020993614, 0.911520673821642), (0.981338230064526, 0.0247979054901993, -0.190683880013814), (0.903371987152748, 0.00118807383912371, 0.428856201200645), (0.884509213233057, 0.00701656928566895, 0.466469955582670)], [(-0.158954483905795, 0.0313834269612903, 0.986786984388428), (-0.883193188360652, 0.0798686774446438, -0.462158832433818), (0.982920613711363, -0.0150996093219600, -0.183409566107116), (0.984578399798479, -0.000688284315043968, -0.174942564617558)])"
5,1.02962293409816,"([(0.424633039833742, 0.00207842546932361, 0.905363165602138), (-0.190637475579488, 0.0281746427764205, 0.981256104393293), (-0.885882142035135, -0.0301612297349920, -0.462928861321169), (0.982865808200901, 0.0117036569838883, -0.183950611531448)], [(0.227923316011143, 0.00872877119341099, -0.973639959416178), (0.469144791890040, -0.000919550386748734, 0.883120783737727), (0.980437752492492, -0.0140605648885236, -0.196326549408090), (0.888698609175658, 0.00846005520819118, 0.458413797256503)])"
6,1.03088503789974,"([(0.441496967259459, -0.0399769485071609, 0.896371726176566), (-0.444551979219712, -0.0102355373452717, -0.895694574923333), (0.903797055678050, -0.0117661972523770, 0.427799531030489), (-0.892685362581681, 0.00670544998553058, -0.450630536440779)], [(0.181065991200821, -0.0109396057449537, -0.983410103596973), (-0.167334298575350, 0.0237474352453756, 0.985614169865451), (-0.986396220509030, 0.0162091515652769, 0.163584105496330), (0.984220371049830, -0.0235250981852395, -0.175376255422193)])"
7,0.980587033468273,"([(0.0135153459562944, 0.0176331574605420, -0.999753173129075), (-0.0325962601005553, -0.00809762726260287, 0.999435796967555), (0.902821644525915, 0.00658796245332778, -0.429964739166175), (0.830922279285026, 0.0273946912891640, -0.555713682283376)], [(0.368052228211092, -0.0567285900585921, -0.928072962853037), (-0.416063224818092, -0.0151093063561121, 0.909210152723454), (-0.999336514511173, -0.000207577622471967, 0.0364209785177428), (-0.998931641584801, -0.0180230667481063, 0.0425528436850976)])"
8,0.980229347789304,"([(-0.349077264156620, -0.0322617032125893, 0.936538438161911), (0.495778452134647, 0.0426319360194955, -0.867402008546327), (-0.0190407865580136, 0.0166523965034015, 0.999680021875973), (0.998774220014739, 0.0145396880235028, -0.0473144259833039)], [(0.0195140351889664, -0.0161515514101478, -0.999679113424748), (-0.0176796874837195, -0.00743806858062657, 0.999816034971568), (-0.403901832251894, -0.0233207231082676, 0.914505032122443), (0.830479215948083, -0.0317962284572347, -0.556141413432009)])"
9,1.03139076201601,"([(0.190538765188043, -0.000432858156549017, -0.981679576844926), (0.435080941345690, 0.00252932219982106, 0.900387792568823), (-0.171421326595892, 0.00602825517097398, 0.985179368910910), (0.983396764008709, -0.00153869479956984, -0.181461943546060)], [(0.459713184435147, 0.0293736390257932, 0.887581532810862), (-0.181120186605600, -0.00242427507675006, 0.983457981255074), (-0.454474672505399, 0.00361392063637322, -0.890752329005512), (-0.890338766067551, -0.00977386362642380, -0.455193753501871)])"
10,1.03126145920010,"([(0.442327101493191, -0.00369848357921897, 0.896846172152085), (0.434630009068599, 0.00907409599901663, 0.900563388107039), (0.454031852452151, 0.0113868404808854, 0.890912687541676), (0.437591495766550, -0.0153089631897184, 0.899043557609335)], [(0.166173599986847, -0.00169916871728265, -0.986095049928292), (0.196093325131840, 0.0201649601378995, -0.980377877260281), (0.172724236718037, -0.00617127990152536, -0.984950888803370), (0.181830804401390, 0.00193507092690145, -0.983327928043972)])"
11,0.734387412877508,"([(-0.648084567313866, -0.619265436444927, -0.443279497421518), (-0.0152282733024618, 0.996332513035620, -0.0841999000020279), (0.638709846829010, -0.579123551443921, 0.506621795550333), (0.524127666343320, -0.720065233728493, 0.454748555301759)], [(0.586428126613142, -0.652017551933375, 0.480598756019831), (-0.808290054992628, -0.0831131354600059, -0.582888834782432), (0.614049375665417, 0.680045942453601, 0.400600649521822), (0.700741791610006, 0.539842736969954, 0.466401930562030)])"
